player_id,team_id,match_position,first,last,known,shirt_number,status,captain,mins_played,successful_final_third_passes
244847,191,Midfielder,Yunus,Musah,,4,Start,0,78,8
436234,191,Striker,Bryan,Gil,,21,Start,0,89,8
208135,191,Defender,Mouctar,Diakhaby,,12,Start,0,90,7
228611,191,Midfielder,Uros,Racic,,8,Start,0,77,7
215206,191,Striker,Maximiliano,Gómez,,9,Start,0,90,6
224860,191,Midfielder,Carlos,Soler,,10,Start,1,89,5
158074,191,Defender,Gabriel Armando,de Abreu,Gabriel Paulista,5,Start,0,90,4
201895,191,Defender,Omar,Alderete,,15,Start,0,90,4
449027,191,Goalkeeper,Giorgi,Mamardashvili,,28,Start,0,90,3
96767,191,Midfielder,Dimitri,Foulquier,,20,Start,0,90,3
465689,191,Substitute,Moriba,Kourouma Kourouma,Ilaix Moriba,23,Sub,0,31,2
439716,191,Striker,Hugo,Duro,,19,Start,0,58,2
421294,191,Substitute,Marcos André,de Sousa Mendonça,Marcos André,22,Sub,0,1,1
165808,191,Substitute,Hélder Wander,Sousa de Azevedo e Costa,Hélder Costa,11,Sub,0,12,1
437460,191,Substitute,Hugo,Guillamón,,6,Sub,0,13,0
500040,191,Substitute,Cristhian,Mosquera,,37,Sub,0,0,0
494922,191,Substitute,Rubén,Iranzo,,39,Sub,0,0,0
466044,191,Substitute,Jesús,Vázquez,,32,Sub,0,0,0
220327,191,Substitute,Eray,Cömert,,24,Sub,0,1,0
181284,191,Substitute,Gonçalo Manuel,Ganchinho Guedes,Gonçalo Guedes,7,Sub,0,0,0
485339,191,Substitute,Koba,Koindredi,,18,Sub,0,0,0
116732,191,Substitute,Jaume,Doménech,,1,Sub,0,0,0
